kata1( );;;;;;;;;;;;;;;;;;;;;;
numeros;numero;i;i<25;i++;numeros;numero;;;;;;;;;;;;;;;;
[ ];1;0;true;1;[1];2;;;;;;;;;;;;;;;;
[1];2;1;true;2;[1,2];3;;;;;;;;;;;;;;;;
[1,2];3;2;true;3;[1,2,3];4;;;;;;;;;;;;;;;;
[1,2,3,...,24];25;24;true;25;[1,2,3,...,24,25];26;;;;;;;;;;;;;;;;
[1,2,3,...,24,25];26;25;false;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
kata2( );;;;;;;;;;;;;;;;;;;;;;
kata1( ).reverse( );;;;;;;;;;;;;;;;;;;;;;
[25,24,...,3,2,1];;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
kata3( );;;;;;;;;;;;;;;;;;;;;;
numeros;numero;i;i<25;i++;numeros;numero;;;;;;;;;;;;;;;;
[ ];1;0;true;1;[-1];2;;;;;;;;;;;;;;;;
[-1];2;1;true;2;[-1,-2];3;;;;;;;;;;;;;;;;
[-1,-2];3;2;true;3;[-1,-2,-3];4;;;;;;;;;;;;;;;;
[-1,-2,-3,...,-24];25;24;true;25;[-1,-2,-3,...,-24,-25];26;;;;;;;;;;;;;;;;
[-1,-2,-3,...,-24,-25];26;25;false;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
kata4( );;;;;;;;;;;;;;;;;;;;;;
kata3( ).reverse( );;;;;;;;;;;;;;;;;;;;;;
[-25,-24,...,-3,-2,-1];;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
kata5( );;;;;;;;;;;;;;;;;;;;;;
numerosPositivos;numerosNegativos;imparPositivo;imparNegativo;resultado;i;i<numerosPositivos.length;i++;" if (numerosPositivos[i]%2 != 0)";imparPositivo;i;i<numerosNegativos.length;i++;" if (numerosNegativos[i]%2 != 0)";imparNegativo;i;i<imparPositivo.length;i++;resultado;i;i<imparNegativo.length;i++;resultado
[25,24,...,3,2,1];[-1,-2,-3,...,-24,-25];[ ];[ ];[ ];0;true;1;true;[25];;;;;;;;;;;;;
[25,24,...,3,2,1];[-1,-2,-3,...,-24,-25];[25];[ ];[ ];1;true;2;false;;;;;;;;;;;;;;
[25,24,...,3,2,1];[-1,-2,-3,...,-24,-25];[25];[ ];[ ];2;true;3;true;[25,23];;;;;;;;;;;;;
[25,24,...,3,2,1];[-1,-2,-3,...,-24,-25];[25,23...,1];[ ];[ ];25;false;;;;0;true;1;true;[-1];;;;;;;;
[25,24,...,3,2,1];[-1,-2,-3,...,-24,-25];[25,23...,1];[-1];[ ];;;;;;1;true;2;false;;;;;;;;;
[25,24,...,3,2,1];[-1,-2,-3,...,-24,-25];[25,23...,1];[-1];[ ];;;;;;2;true;3;true;[-1,-3];;;;;;;;
[25,24,...,3,2,1];[-1,-2,-3,...,-24,-25];[25,23...,1];[-1,-3,...,-25];[ ];;;;;;25;false;;;;0;true;1;[25];;;;
[25,24,...,3,2,1];[-1,-2,-3,...,-24,-25];[25,23...,1];[-1,-3,...,-25];[25];;;;;;;;;;;1;true;2;[25,23];;;;
[25,24,...,3,2,1];[-1,-2,-3,...,-24,-25];[25,23...,1];[-1,-3,...,-25];[25,23];;;;;;;;;;;2;true;3;[25,23,21];;;;
[25,24,...,3,2,1];[-1,-2,-3,...,-24,-25];[25,23...,1];[-1,-3,...,-25];[25,23,21,...,1];;;;;;;;;;;13;false;;;0;true;1;[25,23,21,...,1,-1]
[25,24,...,3,2,1];[-1,-2,-3,...,-24,-25];[25,23...,1];[-1,-3,...,-25];[25,23,21,...,1,-1];;;;;;;;;;;;;;;1;true;2;[25,23,21,...,1,-1,-2]
[25,24,...,3,2,1];[-1,-2,-3,...,-24,-25];[25,23...,1];[-1,-3,...,-25];[25,23,21,...,1,-1,-2,...,-25];;;;;;;;;;;;;;;13;false;;